Type,ID,Label,LDX,Cleaning,Sr/Ca [mmol/mol],Ba/Ca [umol/mol],U/Ca [nmol/mol],Na_Ca [mmol/mol],Mg_Ca [mmol/mol],Mn_Ca [umol/mol],Fe_Ca [umol/mol],Al_Ca [umol/mol],Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Sed Trap,250409_MK01_006,7-1,,na,0.8093344263743193,8.580389655212402,349.33938408922165,27.134223195237617,0.961072024447602,24.006529318345894,23.481281407349556,37.8242345633188,,,,,,,,,,,,,,,
Sed Trap,250409_MK02_007,6-3,,na,0.8058007915672126,10.874727826601507,38.92503279749487,37.09827270225238,0.2759128581497995,18.32274733249534,44.21012601812773,86.44551374776627,,,,,,,,,,,,,,,
Sed Trap,250409_MK03_008,7-4,,na,0.7890205866922653,21.85266026837348,486.4823975669153,42.10435597115773,1.01027729481848,28.939842343182082,199.02388947971676,192.53405332023902,,,,,,,,,,,,,,,
Sed Trap,250409_MK04_009,6-12,,na,0.8793218274581237,15.618258396167157,64.02207665960255,37.02497532250951,0.2696689918686821,17.07094414093772,41.70463838275739,47.584717245536574,,,,,,,,,,,,,,,
Sed Trap,250409_MK05_010,6-4,,na,0.8497356193475543,10.471283552733373,45.51425416832124,37.13063580236753,0.24353026866796124,17.220231271854207,9.382987174143683,11.240396518217807,,,,,,,,,,,,,,,
Sed Trap,250409_MK06_014,12-4,,na,0.8650192433479685,35.748985570739016,395.4661185758716,57.563021246709916,1.2318368301159066,25.513000106482657,272.5491050926479,314.18405452370484,,,,,,,,,,,,,,,
Sed Trap,250409_MK07_015,4-1,,na,0.8865610500873159,21.274117579071415,34.82606125167655,52.50853384880792,0.2106549675462902,24.521995784066746,8.783380738401119,10.179775574037372,,,,,,,,,,,,,,,
Sed Trap,250409_MK08_016,11-5,,na,0.9279084140152204,48.102592972145246,219.37686437793496,57.65262183673116,0.5398836848281815,9.950261362054126,112.6526636209122,91.91271061164977,,,,,,,,,,,,,,,
Sed Trap,250409_MK09_017,10-2,,na,0.8070218365145236,10.455680618415109,178.8737835451884,40.29903898445168,0.2723349433413704,7.8353679661454105,9.410033593909352,13.389546649879703,,,,,,,,,,,,,,,
Sed Trap,250409_MK10_018,3-1,,na,0.7236837448854548,5.123940946932683,24.593890076209743,51.38207375015831,0.3055233096620799,18.00035020300301,18.908057017564776,30.74364802675627,,,,,,,,,,,,,,,
Sed Trap,250409_MK11_021,9-2,,na,0.9616131350910534,23.964656258597035,469.1271799520976,41.90330986764216,0.6360733001409031,9.103986877300233,125.2866337766691,170.20697097150486,,,,,,,,,,,,,,,
Sed Trap,250409_MK12_022,6-6,,na,1.222227150597334,11.038185180700172,48.536706315537195,96.7359880189934,0.29030406206297854,10.660638353397356,32.02212709734122,24.357999230689543,,,,,,,,,,,,,,,
Sed Trap,250409_MK13_023,13-4,,na,1.035875758861204,6.7968407717507775,133.269663253214,87.80369084794017,0.674311645893729,8.68574841268383,135.8285002973293,192.74606876714873,,,,,,,,,,,,,,,
Sed Trap,250409_MK14_024,11-1,,na,0.9218812171327491,42.02759378936398,186.150083197234,39.633014680025624,0.328148412954601,11.031716815464861,105.33504986099311,122.79761862196219,,,,,,,,,,,,,,,
