Vial,for plot,Name of Test,Actual Starting Mass,d18O+d13C mass,14C mass,Bulk mass,Mass Lost ,14C age,1s,mean d13C (PDB),mean d18O (PDB),Sr/Ca [mmol/mol],Ba/Ca [umol/mol],U/Ca [nmol/mol],Na_Ca [mmol/mol],Mg_Ca [mmol/mol],Mn_Ca [umol/mol],Fe_Ca [umol/mol],Al_Ca [umol/mol]
1A,1,NO,110,0.6,4.5,102.7,0.02,3670,85,1.3,0.05,2.42,11.99,468,17.21,9.05,175.66,556.81,514
1B,1,NO,110,0.9,3.7,102.1,0.03,3860,85,1.54,-0.03,2.3,12.85,448,17.48,8.17,174.43,588.75,627
1C,1,NO,111,1.0,3.4,102.1,0.04,3910,90,1.45,-0.04,2.35,12.42,449,17.33,9.02,165.64,521.82,549
2A,2,SON,278,0.9,5.1,216.3,0.2,3560,85,1.12,0.0,1.58,6.72,303,18.66,3.15,48.95,174.51,220
2B,2,SON,277,0.7,5.3,220.9,0.18,3660,85,1.23,0.18,1.6,7.01,308,18.82,3.41,47.3,167.47,156
2C,2,SON,281,0.7,4.7,226.1,0.18,3910,100,1.58,1.05,1.67,7.3,321,18.33,3.57,44.41,157.63,142
3A,3,SON-RED,786,1.3,6.8,559.6,0.28,3530,80,1.36,0.39,1.34,5.7,223,18.67,1.2,15.48,25.88,72
3B,3,SON-RED,762,1.6,4.5,536.4,0.29,3580,80,1.35,0.21,1.56,5.94,237,29.76,1.41,15.63,25.79,54
3C,3,SON-RED,762,0.9,4.6,548.3,0.27,3480,80,1.29,0.1,1.43,6.39,247,18.79,0.93,15.71,30.05,60
4A,4,SON-RED-OX,760,1.4,5.1,524.8,0.3,3690,80,1.41,0.18,1.32,6.49,218,19.69,0.97,15.9,17.47,45
4B,4,SON-RED-OX,775,1.2,5.3,522.9,0.32,3650,80,1.1,0.02,1.31,6.01,221,19.41,0.79,15.75,23.31,63
4C,4,SON-RED-OX,791,1.3,3.5,529.4,0.32,3560,80,0.77,-0.03,1.47,6.72,230,18.9,3.08,14.82,19.59,46
