Vial,Name of Test,mean d13C (PDB),mean d18O (PDB),temp (C°),Sr/Ca [mmol/mol],Ba/Ca [umol/mol],U/Ca [nmol/mol],Na_Ca [mmol/mol],Mg_Ca [mmol/mol],Mn_Ca [umol/mol],Fe_Ca [umol/mol],Al_Ca [umol/mol],depth
1A,No cleaning,1.3,0.05,17.510548523206754,2.42,11.99,468,17.21,9.05,175.66,556.81,514,1312
1B,No cleaning,1.54,-0.03,17.848101265822788,2.3,12.85,448,17.48,8.17,174.43,588.75,627,1312
1C,No cleaning,1.45,-0.04,17.89029535864979,2.35,12.42,449,17.33,9.02,165.64,521.82,549,1312
2A,Sonicate ,1.12,0.0,17.721518987341774,1.58,6.72,303,18.66,3.15,48.95,174.51,220,1312
2B,Sonicate ,1.23,0.18,16.962025316455698,1.6,7.01,308,18.82,3.41,47.3,167.47,156,1312
2C,Sonicate ,1.58,1.05,13.29113924050633,1.67,7.3,321,18.33,3.57,44.41,157.63,142,1312
3A,Sonicate+red,1.36,0.39,16.07594936708861,1.34,5.7,223,18.67,1.2,15.48,25.88,72,1312
3B,Sonicate+red,1.35,0.21,16.835443037974684,1.56,5.94,237,29.76,1.41,15.63,25.79,54,1312
3C,Sonicate+red,1.29,0.1,17.299578059071735,1.43,6.39,247,18.79,0.93,15.71,30.05,60,1312
4A,Sonicate++red+ox,1.41,0.18,16.962025316455698,1.32,6.49,218,19.69,0.97,15.9,17.47,45,1312
4B,Sonicate++red+ox,1.1,0.02,17.637130801687768,1.31,6.01,221,19.41,0.79,15.75,23.31,63,1312
4C,Sonicate++red+ox,0.77,-0.03,17.848101265822788,1.47,6.72,230,18.9,3.08,14.82,19.59,46,1312
